Title,Subtitle,Ingredients,Cooking tools,Instructions
Teriyaki Sauce (NF),Prep+Cooking time: 20 mins  Yields: 2 cups/ 4 servings,DATE PASTE 12 soft pitted Medjool dates 2/3 cup water TERIYAKI SAUCE ¾ cup pineapple juice ¼ cup coconut aminos ⅓ cup unsweetened ketchup ½ cup date paste  2 tbsp apple cider vinegar 1.5 tbsp grated ginger 3 cloves of garlic minced Chili flakes to taste ,High-Speed Blender Saucepan ,"PREPARE DATE PASTE Combine water and dates in a high-speed blender. Blend until smooth. Add to an airtight jar and refrigerate. I have kept this date paste in the fridge for up to a week. If your dates are somewhat dry you can let them sit in the water for an hour or so before blending, but a high-speed blender usually gets the date paste nice and smooth. PREPARE TERIYAKI SAUCE Combine sauce ingredients in a saucepan and simmer on low for 5-10 minutes or until thickened. Enjoy! "
Jerk Sauce (NF),Prep+Cooking time: 20 mins  Yields: 1.5 cups/ 3 servings,"5 green onions 3 garlic cloves 1-inch piece ginger 1.5 tsp allspice 1.5 tsp thyme ½ tsp cinnamon ¼ tsp nutmeg ¼ cup tamari/ coconut aminos ½ cup unsweetened pineapple juice 6-8 soft Medjool dates ¼ cup water 1 scotch bonnet (remove seeds)* 1 lime juiced Salt as necessary  * If you are sensitive to spicy heat, I recommend reducing or omitting the scotch bonnet from the recipe. You can use serrano or habanero to replace the scotch bonnet. ",High-Speed Blender ,Add all ingredients to a high-speed blender. Blend until smooth. Enjoy! 
Sweet and Sour Sauce (NF),Prep+Cooking time: 20 mins  Yields: 1.5 cups/ 4 servings,"½ cup unsweetened pineapple juice 2 minced garlic cloves 2 tbsp coconut aminos ⅓-½ cup date paste  2 tbsp apple cider vinegar ¼ cup tomato paste * 1 tbsp arrowroot starch Note: You can use oil-free, sugar-free ketchup in place of tomato paste ",Saucepan ,"PREPARE SWEET AND SOUR SAUCE Add all ingredients to a saucepan, except for starch. Bring to a simmer. Mix arrowroot starch with 2 tablespoons of cold water and gradually add to saucepan while whisking. Mix until the sauce thickens. Enjoy with your favorite veggies, tofu, mushrooms, jackfruit, etc. "
Jalapeño Lime Sauce,Prep+Cooking time: 10 mins  Yields: 1.5 cups,½ cup raw cashews (soaked for min. 2 hrs) ½ cup hemp seeds ½ cup water  2 tsp apple cider vinegar Juice of one lime 2 cloves garlic 1 jalapeno (seeds removed) 1 date 1 tsp salt Approx ⅓ cup fresh cilantro  ,High-Speed Blender ,Combine all ingredients in a high-speed blender. Blend until smooth. Enjoy! 
Guacamole (NF),Prep+Cooking time: 20 mins  Serving: 6,3 medium size avocados 1 lime juiced 1 tsp salt ¼ cup finely chopped red onion 2 cloves minced garlic cloves ¼ cup chopped fresh cilantro Pinch cayenne Pepper to taste ,Mixing Bowl Knife ,"Cut avocados and remove the pit and skin. Mash until desired consistency. Add minced garlic, chopped red onion, chopped cilantro, salt, cayenne, black pepper, and lime juice. Mix to combine. Enjoy! "
Simple Thai Peanut Sauce,Prep+Cooking time: 20 mins  Yields: 2 cups/ 4 servings,1 ½ cups coconut milk  1 cup natural peanut butter 1-4 tbsp red curry paste ½ cup date paste 4 tbsp coconut aminos ½ cup water ,Saucepan ,"Add coconut milk and curry paste to the saucepan. Warm until coconut milk melts. Whisk in peanut butter, date paste, coconut aminos, and water. Add more or less water to adjust the consistency of the sauce. "
Jalapeno Cheese Sauce (NF option),Prep+Cooking time: 15 mins  Yields: 2 cups/ 4 servings,2-3 Jalapenos (adjust to taste) 1 ½ cups raw cashews (soaked for min. 2 hours)  2 soft Medjool dates ⅓ cup nutritional yeast ½ tsp paprika ⅛ tsp turmeric ¼ tsp cumin ½ tsp garlic granules ½ tsp salt ½- ¾ cup water NF Option ¼ cup hemp seeds ( or sunflower seeds) and 1 ¼ cups (15 oz.can) cannellini beans ,High-Speed Blender Baking Sheet Parchment Paper ,Broil jalapeno peppers for 5-7 minutes. Combine all ingredients in a high-speed blender. Blend until smooth. Enjoy! 
Sweet & Tangy Tahini Sauce (NF),Prep+Cooking time: 10 mins  Yields: 1 cup/ 2 servings,¼ cup tahini ¼-½ cup water 1 clove garlic 2 tbsp lemon juice 3 dates ¼ tsp salt ,High-Speed Blender ,Combine all ingredients in a blender. Blend until smooth. Enjoy! 
Creamy Caesar Dressing (NF option),Prep+Cooking time: 10 mins  Yields: 1 cup/ 2 servings,1/2 cup raw cashews (soaked for min. 2 hours) 1/4 cup + 3 tablespoons water 2 tbsp lemon juice 2 tbsp nutritional yeast 1/4 tsp dulse flakes 2 cloves garlic 1 Medjool date 1/4 tsp pepper 1 tsp salt or TO YOUR TASTE 1/2 tsp parsley Nut  free use ½ cup raw hemp seeds (or sunflower seeds) ,High-Speed Blender ,Combine all ingredients in a high-speed blender. Blend until smooth. Enjoy! 
Raspberry Vinaigrette,Prep+Cooking time: 10 mins  Yields: 1.5 cups/ 2 servings,½ cup fresh or frozen raspberries ¼ cup apple cider vinegar * ¼ cup water ⅓ cup walnuts 4 soft Medjool dates Note: You can replace the apple cider vinegar with lemon juice or other vinegar of choice ,High-Speed Blender ,Combine ingredients in a high-speed blender. Blend until smooth. Enjoy! 
Toasted Sesame-Ginger Dressing (NF),Prep+Cooking time: 10 mins  Yields: 1 cups / 2 servings,1-inch piece of ginger 1 clove garlic 1 tbsp lemon juice 1 tbsp apple cider vinegar 4 soft Medjool dates 1 tbsp coconut aminos ¾ cup water ¼ cup+ 2 tbsp of toasted black sesame seeds * Note: You can also use white sesame seeds to replace the black ones. ,High-Speed Blender Frying pan ,TOAST THE SESAME SEEDS Toasted sesame seeds on medium-low until fragrant.  COMBINE AND SERVE Combine all ingredients in a high-speed blender. Blend until smooth. Enjoy! 
Sweet Dijon Dressing,Prep+Cooking time: 10 mins  Yields: 1.5 cups/ 3 servings ,⅛ cup balsamic vinegar* 2 tbsp Dijon mustard ¾ cup water ½ cup walnuts 5 soft Medjool dates Note: You can use vinegar of choice or lemon juice in place of the balsamic vinegar. ,High-Speed Blender ,Combine all ingredients in a high-speed blender. Blend until smooth. Enjoy! 
Olive Vinaigrette,Prep+Cooking time: 10 mins  Yields: 1.5 cups/ 3 servings,1/2 cup water 1/4 cup balsamic vinegar* 1/4 cup Kalamata olives 1/4 cup walnuts 4 dates 1 clove garlic* 1 tsp Dijon mustard 1/2 tsp dried Italian Note: Garlic clove can be subbed with 1 tsp of garlic granules Balsamic vinegar can be subbed with vinegar of choice or lemon juice. ,High-Speed Blender ,Combine all ingredients in a high-speed blender. Blend until smooth. Enjoy! 
Olivcado Dressing (NF),Prep+Cooking time: 10 mins  Yields: 1 cups / 2 servings,1 avocado 1/3 cup water 1/4 cup balsamic vinegar* 1/4 cup Kalamata olives 2 dates 1 clove garlic* 1 tsp Dijon mustard 1/2 tsp dried Oregano 1/2 tsp salt OR  Note: Garlic clove can be subbed with 1 tsp of garlic granules. Balsamic vinegar can be subbed with vinegar of choice or lemon juice. ,High-Speed Blender ,Combine all ingredients in a high-speed blender. Blend until smooth. Adjust consistency by adding a little water as needed. Enjoy! 
Fig Vinaigrette,Prep+Cooking time: 10 mins  Yields: 1 cup/ 2 servings,¼ cup balsamic vinegar* ½ cup water ¼ cup walnuts or pecans 6 unsulphured figs Note: Balsamic vinegar can be subbed with vinegar of choice or lemon juice. ,High-Speed Blender ,Combine all ingredients in a high-speed blender. Blend until smooth. Enjoy! HUMMUS 
Beet-Rosemary Hummus (NF),Prep+Cooking time: 15 mins  Servings: 6,2 small-medium roasted beets 1 ½ cups cooked chickpeas ½ cup tahini ½ lemon juiced 1 ½ tsp salt 4 cloves garlic ½ cup of water or as needed 1 tbsp fresh rosemary Black pepper to taste ,Food Processor Baking Sheet Parchment Paper Knife ,Trim greens off of beets. Wrap the beets in parchment paper at 400F for 40 mins or until a knife goes through with ease. Cool and remove skins. Add all ingredients to a food processor. Process until smooth. Adjust desired thickness by adding small amounts of water. Enjoy! 
Jalapeno Cheese Hummus,Prep+Cooking time: 20 mins  Servings: 4,1/4 cup soaked cashews ¾  cups cooked navy beans ¾  cups cooked cannellini beans 2 oven-roasted jalapeno peppers 1/2 roasted red pepper 1/4 cup nutritional yeast 2 cloves garlic 1 tbsp tahini  2 tbsp lemon juice 1 tsp salt Pepper to taste ,Food Processor Baking Sheet Parchment Paper ,Broil jalapeno peppers for 5-7 minutes Bake red pepper at 475F for 20 minutes or until lightly charred in spots. Add all the ingredients to a food processor. Process until smooth. Adjust desired thickness by adding small amounts of water.Blend until smooth. Enjoy! 
Roasted Eggplant Hummus (NF),Prep+Cooking time: 30 mins  Servings: 4,1 medium size eggplant 1 1/2 cups (15oz can) of chickpeas 2 cloves garlic 2 tbsp lemon juice ¼ cup tahini ¼ cup broth or water 2 tbsp fresh parsley 1 tsp cumin powder 1 tsp salt or to your taste ,Food Processor Baking Sheet Parchment Paper Knife ,"Cut eggplant in half and bake cut side down at 400F for 20-30 or until eggplant is soft and collapses. Combine baked eggplant, chickpeas, garlic, tahini, broth, lemon juice, and spices in the food processor until smooth. Sprinkle with paprika. Enjoy! "
Golden Hummus (NF),Prep+Cooking time: 15 mins  Servings: 2,1.5 cups (15 oz. can) of chickpeas 2 tsp lemon juice 2 cloves garlic 1 tsp freshly grated ginger ¾ tsp freshly grated turmeric ¼  tsp ground turmeric ⅛  tsp cinnamon 1 medjool date ¼  cup tahini ½  tsp salt Pinch cayenne ¼ cup water ,Food Processor ,"Combine all the ingredients in a food processor and slowly add water to reach desired consistency. Continue to process for 3 minutes until creamy, smooth, and fluffy. Enjoy! "
 Arugula Hummus (NF),Prep+Cooking time: 15 mins  Servings: 2,1.5 cups chickpeas or 1 can 2 cups of washed arugula 1/4 cup tahini 1/2  lemon juiced 2 cloves of garlic 1/4 tsp paprika Black pepper to taste ¾  tsp salt ,Food Processor ,Add all ingredients to a food processor. Process until smooth. Adjusting desired thickness by adding small amounts of water. Enjoy! SIDES 
No-Chick’n Wings (NF),Prep+Cooking time: 45 mins  Servings: 4,"1 lbs Maitake mushrooms* Bread Crumbs 1 cup plant milk mixed with 2 tsp ground flax ½ cup Arrowroot Powder ¼ cup Oat flour (organic, third-party certified glyphosate free.) Note: Oyster or Lion’s Mane mushrooms can be subbed for the Maitake mushrooms. ",Airfryer (optional) Baking Sheet (if using the oven) Parchment Paper (if using the oven) Mixing Bowls OPTIONAL TO MAKE YOUR OWN… HV Almond Flour Breadcrumbs ,"PREPARE THE MUSHROOMS If necessary remove the core from the mushrooms and break mushrooms into appropriate size pieces. PREPARE THE BREADING Combine arrowroot and oat flour in a bowl. If you’re using plant milk and flax as your liquid, combine it and set aside. If using aquafaba, add it to a bowl. Add Almond Bread Crumbs to a bowl. BREADING THE MUSHROOMS One at a time, dip mushroom pieces into the liquid, then flour mixture, back in the liquid, then bread crumbs. Continue until all pieces are nicely coated. GETTING THEM COOKING Add breaded pieces to the air fryer basket and air fry at 350F for 10-13 minutes or until golden brown. Alternatively,  bake them at 350F for 20-30 minutes. Flip them halfway through. Enjoy! "
Spicy Mayo Baked Tofu (NF),Prep+Cooking time: 35 mins  Servings: 2,SPICY MAYO 1/4 cup vegan mayo 1 tbsp sriracha (oil and sugar-free) 1 tbsp coconut aminos TOFU 1 15 oz package of firm tofu pressed lightly and patted OPTIONAL TO MAKE YOUR OWN HV Mayo HV Mung-Fu STEP-BY-STEP INSTRUCTIONS ,-1,"PREPARE SPICY MAYO In a bowl whisk together sauce ingredients. PREPARE TOFU Drain your tofu and gently press in a clean kitchen towel or paper towel to absorb excess water Cut tofu into long 1-inch strips. Lay on a parchment-lined baking sheet, leaving space between the pieces of tofu. Brush generously with spicy mayo. BAKE YOUR TOFU Bake for 20-30 minutes at 350F, flipping halfway. Enjoy! "
Crispy Tofu (NF),Prep+Cooking time: 35 mins  Servings: 2,14 oz firm tofu 1 tbsp tamari or coconut aminos 2 tbsp nutritional yeast ½ tsp black pepper ¼ tsp garlic granules OPTIONAL TO MAKE YOUR OWN HV Mung-Fu ,Knife Mixing Bowl Baking Sheet Parchment Paper ,"Preheat oven to 425F PREPARE THE TOFU Press tofu gently with a clean kitchen towel or paper towel to absorb excess water from the tofu. Cut into cubes. PREPARE  MARINADE To a bowl add tamari, nutritional yeast, black pepper, and garlic granules and mix. Add cubed tofu to the marinade and mix. GET IT BAKED Spread tofu evenly on a parchment-lined cookie sheet. Baked for 20 minutes flip and baked for another 10-20 minutes. Enjoy! "
Purple Fries (NF),Prep+Cooking time: 20 mins  Servings: 2,2 purple sweet potatoes cut into thick fries 2 tbsp Aquafaba Salt and pepper to taste ,Knife Peeler Mixing bowl Airfryer (optional) Baking Sheet (if using an oven) Parchment Paper (if using the oven) ,"Cut the sweet potato into large-size french fries. Add to a bowl. Toss sweet potatoes with aquafaba, salt, and pepper. Transfer to an air frying basket or parchment-lined baking sheet.  Air fry at 350F for 10-15 minutes or bake at 350F for 30 minutes flipping halfway.  Enjoy! "
Sweet Potato Fries (NF),Prep+Cooking time: 20 mins  Servings: 2,2 medium sweet potatoes cut into thick fries 2 tbsp Aquafaba Salt and pepper to taste ,Knife Peeler Mixing bowl Airfryer (optional) Baking Sheet (if using an oven) Parchment Paper (if using the oven) ,"Cut the sweet potato into large-size french fries. Add to a bowl. Toss sweet potatoes with aquafaba, salt, and pepper. Transfer to an air frying basket or parchment-lined baking sheet.  Air fry at 350F for 10-15 minutes or bake at 350F for 30 minutes flipping halfway.  Enjoy! "
 Jamaican-Style Millet and Beans (NF),Prep+Cooking time: 35 mins  Servings: 2,1/2 cup millet ½ cup coconut milk 1/4 cup water 1 clove of garlic minced 1/2 tsp fresh grated ginger 1/4 cup chopped green onion 1/4 tsp thyme 1/4 tsp allspice ½ tsp salt 1/2 cup cooked kidney beans* Note: You can sub black beans for kidney beans ,Pot or Saucepan with lid ,"Dry roast millet in a pot for 3-5 minutes on medium-low heat, or until the millet smells nutty and is popping. Add coconut milk, water, garlic, green onion, ginger, and salt. Bring to a soft boil Reduce heat to low and cover. Allow to cook for 12-17 minutes or until millet has cooked and water is absorbed. Remove from heat for 5 minutes. Add kidney beans and use a fork to fluff millet and mix in beans. * *Alternatively, beans can be added with coconut milk and seasonings. Enjoy! ** If all the water dries out before the millet is fully cooked, add ¼ cup of water at a time without stirring and keeping it covered. "
Millet Pilaf (NF),Prep+Cooking time: 35 mins  Servings: 2,1/2 cup millet ½ cup coconut milk 1/4 cup water 1/8 tsp cardamom ground ¼ of a cinnamon stick 1 bay leaf 1/2 tsp ground cumin 1/2 tsp fresh ginger* 1 clove garlic 1/4 tsp turmeric ⅛ tsp cayenne 1/8 cup roasted cashew pieces* (omit for nut-free) 1/8 cup peasgo 1/8 cup diced carrots 1/8 cup raisins (optional) 1/2 tsp salt Pepper to taste Note: You may sub ¼ tsp of ginger powder for fresh ginger. You may sub seed of choice or omit cashews if nut-free. ,Pot or Saucepan with lid ,"ROAST THE MILLET Add the dry millet to a pan on medium heat and dry roast until fragrant and making a crackling sound. Remove the millet and set it aside. LIGHTLY ROAST CASHEWS Add cashew pieces and dry roast over low heat until lightly golden. Remove from the pan and set aside. COOK THE MILLET Return the millet to the pan. Add coconut milk, water carrots, and spices to a pot. Bring to a gentle boil. Cover and let simmer on low for 20 minutes or until the millet is cooked and the water has cooked out. Remove from heat for 5 minutes. FINISH AND SERVE Remove the lid and add peas, raisins, and cashew pieces Fluff the millet using a fork, mixing to combine everything at the same time. Enjoy! ** If all the water dries out before the millet is fully cooked, add ¼ cup of water at a time without stirring and keeping it covered. "
Simple Sweet Dinner Rolls (NF),Prep+Cooking time: 55 mins  Servings: 2 (4 rolls),1 ¼ cup tiger nut flour* ¼ cup coconut flour 1 tbsp ground flax ¼ cup +3 tbsp psyllium husks ½ tsp salt 1 tbsp baking powder 1 tbsp apple cider vinegar 1 cup hot water Note: Tiger nut flour is actually nut-free. You can use almond flour in equal portions to replace tiger nut flour if nut-free is not important to you. ,Baking Sheet Parchment Paper Mixing Bowl ,Preheat oven to 375 COMBINE THE DRY INGREDIENTS Combine all your dry ingredients in a bowl and whisk. ADD THE WATER Add hot water and mix. Allow to sit for a couple of minutes for the psyllium to absorb the liquid. Gather dough into a ball. Divide into 4 equal portions. Roll into balls. BAKE AND ENJOY Place on a parchment-lined baking sheet. Bake for 35- 40 minutes. Allow to cool completely before cutting. Enjoy! 
Roasted Garlic & Herb Cauliflower Rice (NF),Prep+Cooking time: 55 mins  Servings: 4,1 pint cherry tomatoes 1 bulb garlic 2 tbsp coconut aminos 1 head of cauliflower * 1 tsp Italian seasoning 1 bulb of garlic roasted 1 tsp dried parsley 1 tsp salt Note: Sub 1 bag of frozen cauliflower rice for your convenience. ,Baking Sheet Parchment Paper Wok or Frying Pan STEP-BY-STEP INSTRUCTIONS ROAST TOMATOS AND GARLIC Sprinkle coconut aminos over your cherry tomatoes and garlic. Roast in the oven at 475F for 15 minutes or until cherry tomatoes are soft and caramelized. Remove the tomatoes and continue to roast garlic for an additional 25 minutes or until soft. Wrap the bulb in parchment to speed the process and prevent the skin from scorching. PREPARE YOUR CAULIFLOWER ,"COOK AND ENJOY Heat a small amount of water in a pan. Add your cauliflower rice to the pan and sauté for 3-5 minutes, taking care not to scorch the bottom. Add your seasonings, garlic, and tomatoes, and mix gently. Cook for an additional 5 minutes. For best results allow it to sit for 15 minutes so flavors can blend. Enjoy! "
Glazed Mushrooms and Zucchini (NF),Prep+Cooking time: 55 mins  Servings: 4,1 pound white mushrooms* 2 medium yellow squash cut into larger pieces 1 medium zucchini cut into larger pieces Glaze: 2 tbsp apple cider vinegar 2 tbsp coconut aminos 4 cloves garlic ¼ cup green onions Salt to taste Pepper Note: Cremini mushrooms can be subbed for white mushrooms ,Baking Sheet Parchment Paper Mixing Bowl ,PREPARE THE VEGGIES Combine veggies and mushrooms in a large bowl. PREPARE THE GLAZE In a small bowl combine glaze ingredients and give a whisk. Add glaze to vegetables and mix to coat them evenly. Add to a large parchment-lined baking sheet pan and spread the veggies out so that they don’t overlap. BAKE AND ENJOY Bake at 400 F for 20-30 minutes or until any water has evaporated and mushrooms and vegetables are glazed and cooked. Enjoy! 
Roasted Sweet Potato & Brussel Sprouts (NF),Prep+Cooking time: 55 mins  Servings: 4,ROASTED VEGGIES 2 medium size sweet potatoes chopped into 1-inch cubes 1 lb brussel sprouts washed and cut in half ¼ cup veggie broth  1 tbsp miso paste 2 tsp garlic powder 1 tsp cumin ½ tsp cinnamon ⅛ tsp cayenne (optional) 1 tsp salt  Generous pepper or to taste SWEET & TANGY TAHINI DRESSING ¼ cup tahini ¼-½ cup water 1 clove garlic 2 tbsp lemon juice 3 dates ¼ tsp salt ,Peeler Knife Mixing Bowls Baking Sheet Parchment Paper Highspeed Blender ,"Preheat oven to 400F PREP THE VEGGIES Wash, peel, and cut sweet potatoes.  Wash and trim brussel sprouts, and cut them in half. Add cut sweet potatoes and brussel sprouts to a bowl. SEASON THE VEGGIES Combine broth and miso paste and set aside. Add spices and miso and broth mixture to sweet potatoes and brussel sprouts and toss. Spread out evenly on a parchment-lined baking sheet. BAKE THE VEGGIES Bake for 35-40 minutes, flipping halfway through. When veggies are nicely browned, remove them from the oven. PREPARE THE DRESSING Combine all the ingredients in a high-speed blender. Blend until smooth. FINISH AND SERVE Top roasted veggies with tahini sauce. Enjoy! "
Mac and Cheese (NF option),Prep+Cooking time: 45 mins  Servings: 4,"1 8 oz package of wheat-free macaroni* SAUCE 1 cooked medium size sweet potato ½ cup soaked cashews* ¼ cup nutritional yeast** 1 tsp paprika 2 tsp salt ¾ tsp mustard powder ½ tsp black pepper 1 ½ tsp garlic granules 1 ½ tsp onion granules 1 cup plant milk ¾ cup water 2 tsp lemon juice ½ cup HV almond bread crumbs (optional) Note: For nut-free sub hemp seeds or raw sunflower seeds for the cashews. You may use any lentil, chickpea, or wheat and rice-free pasta of choice. BREAD CRUMBS  1 cup almond flour 2 tsp flax meal ½ pepper ½ tsp garlic ½ paprika 1 tsp salt  2 Tbsp water ",High-Speed Blender Pot Strainer 10” Glass baking dish STEP-BY-STEP INSTRUCTIONS Preheat oven to 375F PREPARE BREADCRUMB MIXTURE Combine breadcrumb ingredients to form a dough and set aside. BOIL THE PASTA ,"PREPARE CHEESE SAUCE Combine all the sauce ingredients in a high-speed blender. Blend on high until smooth. FOR CREAMY MAC & CHEESE On the stovetop, add sauce to drained pasta over medium heat. Combine until warm. Serve and top with bread crumbs as desired. FOR BAKED MAC AND CHEESE Add cooked pasta and cheese sauce to a baking dish and mix. Top with uncooked almond breadcrumbs Enjoy! "
